id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
360;12;Number of people in subsidized employment;Number of people in subsidized employment;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
8;13;Number of opinions for placing buildings or town and villagescapes on the municipal or state monument list;Number of opinions for placing buildings or town and villagescapes on the municipal or state monument list;Quality of Life;Institutional;Law;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
73;14;Percentage of work on main networks carried out jointly with other parties;Percentage of work on main networks carried out jointly with other parties;Quality of Life;Transport;Transport;Here and now;;;;City;Good Governance;10_DBoom;Social
76;15;No of listed monuments and sites;No of listed monuments and sites;Quality of Life;Land and Ecosystems;Landscape quality;Here and now;;;;;Good Governance;9_SDGs;Environmental
79;16;Satisfaction facilities;Satisfaction facilities;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;;Good Governance;9_SDGs;Social
204;17;"Percentage of ""good"" the municipality shows in the heritage inspection monitor on topics about archaeology and historic preservation in relation to other Dutch municipalities";"Percentage of ""good"" the municipality shows in the heritage inspection monitor on topics about archaeology and historic preservation in relation to other Dutch municipalities";Economic Capital;Physical Capital;Infrastructure;Here and Now, Elsewhere;;;;City;Good Governance;10_DBoom;Economic
150;18;Number of Rainproof bottlenecks;Number of Rainproof bottlenecks;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
355;19;Percentage of the total number of Amsterdam residents receiving services from the municipality (welfare recipients) who have become benefit-independent through outflow to work or education;Percentage of the total number of Amsterdam residents receiving services from the municipality (welfare recipients) who have become benefit-independent through outflow to work or education;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
317;20;Number of youth in residential facilities Youth;Number of youth in residential facilities Youth;Quality of Life;Health;Health care facilities;Here and now;;;;City;Good Governance;10_DBoom;Social
28;21;Erfpacht changes;Number of leasehold changes (without transfer);Quality of Life;Housing;Subjective-Affordability;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
210;22;Number of education projects and products delivered annually (incl.restoration course, contributions to symposia, guest lectures, etc.);Number of education projects and products delivered annually (incl.restoration course, contributions to symposia, guest lectures, etc.);Human Capital;Education;Lifelong learning;Here and now;;;;City;Good Governance;10_DBoom;Economic
17;23;Monitor offices Amsterda;"Twice a year ""Monitor offices Amsterdam""";Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
83;24;Obstacles outsourcing budget;Obstacles in outsourcing the budget;Economic Capital;Financial Capital;Foreign direct investment;Here and now, Later;;;;City;Good Governance;8_Duurzame;Economic
454;25;Evaluation in 2023 shows that stakeholders ( elected residents, district committee members and council members) perceive added value from district panels;Evaluation in 2023 shows that stakeholders ( elected residents, district committee members and council members) perceive added value from district panels;Quality of Life;Social Connections;Generalised trust;Here and now, Later;;;;Stadsdeel;Good Governance;10_DBoom;Social
397;26;Number of prepared sub-triangles and Staff Major and Special Operations (SGBOs);Number of prepared sub-triangles and Staff Major and Special Operations (SGBOs);Quality of Life;Safety;Police;Here and now;;;;City;Good Governance;10_DBoom;Social
463;27;(Much) trust in the mayor;(Much) trust in the mayor;Quality of Life;Social Connections;Politics;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
358;28;Number of welfare recipients with no prospect of paid work yet participating;Number of welfare recipients with no prospect of paid work yet participating;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
443;29;The result of sample of Self-assessment on the basic registration of persons (BRP);The result of sample of Self-assessment on the basic registration of persons (BRP);Economic Capital;Physical Capital;ICT;Here and now;;;;City;Good Governance;10_DBoom;Economic
455;30;Number of organized panels commissioned by district committees;Number of organized panels commissioned by district committees;Quality of Life;Institutional;Partnerships;Here and now;;;;City;Good Governance;10_DBoom;Social
351;31;Percentage of timely (within 4 weeks) and correctly processed income settlements of people on welfare benefits with an income settlement from work;Percentage of timely (within 4 weeks) and correctly processed income settlements of people on welfare benefits with an income settlement from work;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
149;32;Residual life span sewerage. Average residual sewer life [years].;Residual life span sewerage. Average residual sewer life [years].;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
209;33;Number of information and public meetings (in- external partners, Open Monuments Day, Archaeology Days, etc.);Number of information and public meetings (in- external partners, Open Monuments Day, Archaeology Days, etc.);Human Capital;Education;Lifelong learning;Here and now;;;;City;Good Governance;10_DBoom;Economic
398;34;Number of letters based on the law on public events (WOM);Number of letters based on the law on public events (WOM);Quality of Life;Safety;Police;Here and now;;;;City;Good Governance;10_DBoom;Social
31;35;Number of customer queries handled (*1000);Number of customer queries handled (*1000);Quality of Life;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
353;36;Number of welfare recipients proactively receiving a broad income scan*;Number of welfare recipients proactively receiving a broad income scan*;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
27;37;Erfpacht rights;Number of rights (*1,000);Quality of Life;Housing;Subjective-Affordability;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
208;38;Number of advices Archaeology;Number of advices Archaeology;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
16;39;Housing plan report;"Once a year ""Housing Plan Report""";Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
462;40;(Much) confidence in the college;(Much) confidence in the college;Quality of Life;Social Connections;Politics;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
20;41;Number of active land holdings;Number of active land holdings;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
115;42;Municipal sustainability index;Municipal sustainability index;Natural Capital;Climate;State of the climate;Here and now;;;;;Good Governance;9_SDGs;Environmental
4;43;External hires;External hires;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Good Governance;11_BBV;Economic
410;44;Number of businesses/establishments/events supervised (APV/Alcohol Act/Activities Decree);Number of businesses/establishments/events supervised (APV/Alcohol Act/Activities Decree);Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
48;45;Enforcement decisions;Enforcement decisions;Quality of Life;Housing;Housing stock;Here and now;;;;City;Good Governance;10_DBoom;Social
78;46;Trust rule law;Trust in the rule of law;Social Capital;Institutional;Trust in institutions;Here and now, Later;;Value Creation ;Index;;Good Governance;6_RMBW;Social
6;47;Number of principle decisions adopted;Number of principle decisions adopted;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
98;48;Satisfaction bicycle parking;Satisfaction bicycle parking capacity;Quality of Life;Transport;Transport;Here and now;;System Condition;Index;City;Good Governance;1_StaatVDS;Social
12;49;Visitor numbers Spaarnwoude;Visitor numbers Spaarnwoude;Quality of Life;Land and Ecosystems;Land use;Here and now;;;;City;Good Governance;10_DBoom;Environmental
362;50;Number of jobs per 1,000 inhabitants aged 15-75 ;Number of jobs per 1,000 inhabitants aged 15-75 ;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
344;51;Customer satisfaction with service handling assistance applications upon influx;Customer satisfaction with service handling assistance applications upon influx;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
114;52;Satisfaction public services;Satisfaction public services;Quality of Life;Social Connections;Generalised trust;Here and now;;;;;Good Governance;9_SDGs;Social
456;53;Number of initiatives supported;Number of initiatives supported;Quality of Life;Institutional;Partnerships;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
461;54;(Much) trust in city council;(Much) trust in city council;Quality of Life;Social Connections;Politics;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
352;55;Number of people with benefit debt due to overprovision of general assistance benefits;Number of people with benefit debt due to overprovision of general assistance benefits;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
1;56;Formation;Formation;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Good Governance;11_BBV;Economic
357;57;Total number of Amsterdam residents (including NUG and early school leavers) who receive services from the municipality and have left for education;Total number of Amsterdam residents (including NUG and early school leavers) who receive services from the municipality and have left for education;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
295;58;Client experience of youth aid Parent and Child Teams Amsterdam*;Client experience of youth aid Parent and Child Teams Amsterdam*;Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
396;59;Number of Grip Situations;Number of Grip Situations;Quality of Life;Safety;Police;Here and now;;;;City;Good Governance;10_DBoom;Social
264;60;% negative child care inspection ratings (red risk profile);% negative child care inspection ratings (red risk profile);Economic Capital;Physical Capital;Capital stock;Here and now;;;;City;Good Governance;10_DBoom;Economic
96;61;Rating public transport;Rating public transport;Quality of Life;Transport;Transport;Here and now;;System Condition;Index;City;Good Governance;1_StaatVDS;Social
77;62;Governance effective;Effectiveness of government governance;Social Capital;Institutional;Global social capital;Here and now, Later;;Value Creation ;Index;;Good Governance;6_RMBW;Social
452;63;Appreciation by participants in a participation process with regard to clarity about their scope of influence and role, transparency and the extent to which the process was handled carefully;Appreciation by participants in a participation process with regard to clarity about their scope of influence and role, transparency and the extent to which the process was handled carefully;Quality of Life;Social Connections;Generalised trust;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
363;64;Net participation rate (% of people between 15-67 employed) ;Net participation rate (% of people between 15-67 employed) ;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
10;65;Visitor numbers Amstelland;Visitor numbers Amstelland;Quality of Life;Land and Ecosystems;Land use;Here and now;;;;city;Good Governance;10_DBoom;Environmental
11;66;Visitor numbers Twiske Waterland.;Visitor numbers Twiske Waterland.;Quality of Life;Land and Ecosystems;Land use;Here and now;;;;City;Good Governance;10_DBoom;Environmental
367;67;Percentage of Amsterdam residents who received services from the municipality and have been employed for at least 6 months (% of total outflow to employment);Percentage of Amsterdam residents who received services from the municipality and have been employed for at least 6 months (% of total outflow to employment);Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
374;68;Percentage of status holders who meet the civic integration deadline (only for status holders who will become subject to civic integration as of Jan. 1, 2022);Percentage of status holders who meet the civic integration deadline (only for status holders who will become subject to civic integration as of Jan. 1, 2022);Human Capital;Education;Basic competencies;Here and now, Later;;;;City;Good Governance;10_DBoom;Economic
69;69;We limit the number of Crowd Control situations (police deployment) due to crowds at planned activities/events and predictable crowds;We limit the number of Crowd Control situations (police deployment) due to crowds at planned activities/events and predictable crowds;Quality of Life;Transport;Transport;Here and now;;;;City;Good Governance;10_DBoom;Social
451;70;Number of physical visitors;Number of physical visitors;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
395;71;Number of Demonstrations;Number of Demonstrations;Quality of Life;Safety;Police;Here and now;;;;City;Good Governance;10_DBoom;Social
394;72;Number of C events;Number of C events;Quality of Life;Safety;Police;Here and now;;;;City;Good Governance;10_DBoom;Social
450;73;Number of unique visitors archive on amsterdam.nl;Number of unique visitors archive on amsterdam.nl;Economic Capital;Physical Capital;ICT;Here and now;;;;City;Good Governance;10_DBoom;Economic
293;74;Client experience: I have been helped by the support provided by the neighborhood team ((completely) agree);Client experience: I have been helped by the support provided by the neighborhood team ((completely) agree);Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
361;75;Number of Amsterdam residents receiving services from the municipality and working part-time.;Number of Amsterdam residents receiving services from the municipality and working part-time.;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
206;76;Number of Archaeology surveys ;Number of Archaeology surveys ;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
211;77;Core registry heritage 1. Implemented corrections in the core registry 2. Recorded decisions monument designations and protected faces;Core registry heritage 1. Implemented corrections in the core registry 2. Recorded decisions monument designations and protected faces;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
346;78;Minimum percentage of benefits and credits lawfully provided;Minimum percentage of benefits and credits lawfully provided;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
345;79;Percentage of applications for benefits processed within 3 weeks (excluding special target groups);Percentage of applications for benefits processed within 3 weeks (excluding special target groups);Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
207;80;Number of advices Monuments ;Number of advices Monuments ;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
64;81;Residents' satisfaction with the design of the Residential Environment.;Residents' satisfaction with the design of the Residential Environment.;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
348;82;Number of complaints received per year;Number of complaints received per year;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
29;83;Sewage charges;Sewage charges;Natural Capital;Water;Consumption;Here and now;;;;;Good Governance;9_SDGs;Environmental
442;84;The percentage of Amsterdam residents who say they find it easy to arrange something with us by channel, known as the customer effort score (CES);The percentage of Amsterdam residents who say they find it easy to arrange something with us by channel, known as the customer effort score (CES);Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
356;85;Total number of Amsterdam residents receiving services (including NUG and early school leavers) from the municipality and exited to work;Total number of Amsterdam residents receiving services (including NUG and early school leavers) from the municipality and exited to work;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
209;86;Voting intention;Voting intention;Social Capital;Institutional;Voter turnout;Here and now;;System Condition;People;City;Good Governance;1_StaatVDS;Social
294;87;Share of outflow with characteristic: the Amsterdammer can do it himself again (Neighborhood Teams);Share of outflow with characteristic: the Amsterdammer can do it himself again (Neighborhood Teams);Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
210;88;Trust institutions;Trust in institutions;Social Capital;Institutional;Trust in institutions;Here and now;;System Condition;People;City;Good Governance;1_StaatVDS;Social
315;89;Percentage of youth 0 to 18 with youth assistance (incl. youth assistance OKT) (BBV mandatory);Percentage of youth 0 to 18 with youth assistance (incl. youth assistance OKT) (BBV mandatory);Quality of Life;Health;Health care facilities;Here and now;;;;City;Good Governance;10_DBoom;Social
292;90;Client experience: I could easily find the neighborhood team ((completely) agree);Client experience: I could easily find the neighborhood team ((completely) agree);Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
441;91;The rating the Amsterdammer gives for contact with the municipality through all our channels;The rating the Amsterdammer gives for contact with the municipality through all our channels;Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
453;92;The State of Participation (Monitor) shows improvement compared to a baseline measurement in 2022 of available participation plans;The State of Participation (Monitor) shows improvement compared to a baseline measurement in 2022 of available participation plans;Quality of Life;Social Connections;Generalised trust;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
373;93;Percentage of status holders exiting from benefits within three years of entering the Amsterdam Approach to Status Holders;Percentage of status holders exiting from benefits within three years of entering the Amsterdam Approach to Status Holders;Human Capital;Education;Basic competencies;Here and now;;;;City;Good Governance;10_DBoom;Economic
366;94;Percentage of Amsterdam residents who received services to whom aftercare was provided after they started work;Percentage of Amsterdam residents who received services to whom aftercare was provided after they started work;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
316;95;"Number of youth with individual provision of specialized youth services:
- single
- highly specialized (HSJH)";"Number of youth with individual provision of specialized youth services:
- single
- highly specialized (HSJH)";Quality of Life;Health;Health care facilities;Here and now;;;;City;Good Governance;10_DBoom;Social
37;96;Life satis-Ams. Admin.;Life satisfaction - The Amsterdam administration;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;;System Condition;Index;;Good Governance;1_StaatVDS;Social
379;97;Percentage of minimum income households with children reached by at least one child scheme;Percentage of minimum income households with children reached by at least one child scheme;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Good Governance;10_DBoom;Social
5;98;Overhead;Overhead;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Good Governance;11_BBV;Economic
207;99;Voting CE-HR-PE;Valid votes in the provincial Council elections and house of representatives, parliamentary elections;Social Capital;Institutional;Voter turnout;Here and now;;Value Creation ;People;Neighborhood;Good Governance;1_StaatVDS;Social
9;100;Number of integral advices (from the fields of urban planning, architecture, landscape and cultural history) to initiators and administrators;Number of integral advices (from the fields of urban planning, architecture, landscape and cultural history) to initiators and administrators;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
2;101;Number of explorations and studies (themes).;Number of explorations and studies (themes).;Quality of Life;Institutional;Law;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
21;102;Number of active land holdings;Number of active land holdings;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
205;103;Number of surveys Monuments (cultural-historical value of buildings and areas);Number of surveys Monuments (cultural-historical value of buildings and areas);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Good Governance;10_DBoom;Economic
349;104;Percentage of requests received digitally;Percentage of requests received digitally;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
408;105;Number of event permits requested/granted;Number of event permits requested/granted;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
376;106;Percentage of family migrants receiving counseling from municipality within four weeks of start of obligation to integrate;Percentage of family migrants receiving counseling from municipality within four weeks of start of obligation to integrate;Human Capital;Education;Basic competencies;Here and now;;;;City;Good Governance;10_DBoom;Economic
211;107;Trust politics;Trust in institutions;Social Capital;Social Connections;Politics;Here and now;;System Condition;People;City;Good Governance;1_StaatVDS;Social
19;108;Trust institutions;Trust in institutions;Social Capital;Social Connections;Generalised trust;Here and now, Later;Strategic;Value Creation ;Index;;Good Governance;6_RMBW;Social
458;109;Visibility of initiatives increased;Visibility of initiatives increased;Social Capital;Social Connections;Bridging social capital;Here and now;;;;City;Good Governance;10_DBoom;Social
18;110;Participation-accountability;Participation and accountability;Social Capital;Institutional;Trust in institutions;Here and now;Strategic;Value Creation ;Index;National;Good Governance;6_RMBW;Social
2;111;Occupancy;Occupancy;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Good Governance;11_BBV;Economic
359;112;Number of people in social work;Number of people in social work;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
365;113;Number of persons per 10,000 inhabitants with an ongoing reintegration program ;Number of persons per 10,000 inhabitants with an ongoing reintegration program ;Human Capital;Labour;Labour force;Here and now;;;;City;Good Governance;10_DBoom;Economic
38;114;Life satis-government;Life satisfaction - The government;Social Capital;Institutional;Trust in institutions;Here and now;;System Condition;Index;;Good Governance;1_StaatVDS;Social
386;115;The percentage of reports of early warning that lead to contact with the Amsterdam resident about possible interventions;The percentage of reports of early warning that lead to contact with the Amsterdam resident about possible interventions;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
4;116;Number of explorations and investigations (areas);Number of explorations and investigations (areas);Quality of Life;Institutional;Law;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
291;117;The average waiting time of Amsterdam residents supported by the neighborhood team, in calendar days from the time of reporting to the neighborhood team to the first interview.;The average waiting time of Amsterdam residents supported by the neighborhood team, in calendar days from the time of reporting to the neighborhood team to the first interview.;Social Capital;Institutional;Trust in institutions;Here and now;;;;City;Good Governance;10_DBoom;Social
347;118;Percentage of complaints resolved within the legal deadline;Percentage of complaints resolved within the legal deadline;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
208;119;Interest in politics;Interest in politics;Social Capital;Institutional;Trust in institutions;Here and now;;System Condition;People;City;Good Governance;1_StaatVDS;Social
3;120;Of which theme studies on sustainable area development;Of which theme studies on sustainable area development;Quality of Life;Institutional;Law;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
354;121;Number of Amsterdam residents who receive services from the municipality (welfare recipients) and who are benefit-independent through outflow to work or education;Number of Amsterdam residents who receive services from the municipality (welfare recipients) and who are benefit-independent through outflow to work or education;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
11;122;Income inequality;Income inequality;Economic Capital;Consumption and Income;Distribution-Income- Total;Here and now;;;;City;Equal Opportunities;2_BWMRA;Economic
9;123;Long-term unemployment;Long-term unemployment;Quality of Life;Labour;Employment rate;Here and now;Strategic;Adverse Outcome;Population;;Equal Opportunities;6_RMBW;Economic
146;124;Numbers of home connections;Numbers of home connections;Quality of Life;Housing;Quality of housing;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
71;125;Employed 10-20;% of employees in sector with hourly wages between €10 and €20;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
139;126;Social security benefits;Social security benefits;Quality of Life;Consumption and Income;Income;Here and now, Later;Trust;Bridging social capital;;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
165;127;Average overall opinion of markets ;Average overall opinion of markets ;Quality of Life;Consumption and Income;Subjective-material;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
34;128;Household wealth;Median household wealth;Economic Capital;Consumption and Income;Distribution-Income- Total;Here and now;;System Condition;Monetary;;Equal Opportunities;6_RMBW;Economic
306;129;The number of outdoor sleepers on an average winter day;The number of outdoor sleepers on an average winter day;Quality of Life;Housing;Slums-rough sleepers;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
38;130;Social house waiting time;Social housing waiting time;Quality of Life;Housing;Housing stock;Here and now;Strategic;Adverse Outcome;Time;Neighborhood;Equal Opportunities;5_EVMRA;Social
171;131;Hourly wages;Hourly wages;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
37;132;Municipal housing costs multi-person household ;Municipal housing costs multi-person household ;Quality of Life;Housing;Subjective-Affordability;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
322;133;Number of places 24-hour shelter undocumented;Number of places 24-hour shelter undocumented;Quality of Life;Housing;Slums-rough sleepers;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
24;134;Annual addition of new units;Annual addition number of housing units in established investment decisions;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
135;135;Economic independence;Economic independence;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
3;136;Social rent;Registered social rent;Quality of Life;Housing;Housing stock;Here and now;;Adverse Outcome;People;;Equal Opportunities;4_Stadsdonut;Social
67;137;Low income-little wealth;Low income and little wealth;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;Adverse Outcome;Population;;Equal Opportunities;6_RMBW;Economic
3;138;Travel time commuting;Travel time commuting;Quality of Life;Work Life Balance;Time use;Here and now;;;;City;Equal Opportunities;2_BWMRA;Social
151;139;Student abstentism;Student abstentism;Quality of Life;Education;Participation in education;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
65;140;Cancelled parking spaces;Cancelled parking spaces;Quality of Life;Transport;Transport;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
188;141;Percentage of Amsterdam children living below 120% of WSM participating in non-school related activities through the Youth Culture Fund;Percentage of Amsterdam children living below 120% of WSM participating in non-school related activities through the Youth Culture Fund;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
54;142;Wealth inequality median;Wealth inequality median;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
34;143;Social housing waiting time;Average waiting time of active house seekers for social housing from corporations;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
199;144;Smartphone Ownership;Smartphone Ownership;Quality of Life;Consumption and Income;Consumption;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
164;145;Average rating of residents for supply of stores daily groceries in neighborhood (1-10) ;Average rating of residents for supply of stores daily groceries in neighborhood (1-10) ;Quality of Life;Consumption and Income;Subjective-material;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
67;146;Homelessness;Homelessness;Quality of Life;Housing;Slums-rough sleepers;Here and now;;;;;Equal Opportunities;9_SDGs;Social
181;147;Total number of visits in Amsterdam to cultural institutions included in the 20212024 Arts Plan;Total number of visits in Amsterdam to cultural institutions included in the 20212024 Arts Plan;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
180;148;The proportion of Amsterdam residents reached by arts and culture;The proportion of Amsterdam residents reached by arts and culture;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
168;149;Average percentage of vacant offices;Average percentage of vacant offices;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
113;150;MH: energetic;Mental health: number of people feeling energetic;Quality of Life;Health;Mental health;Here and now;;;;;Equal Opportunities;1_StaatVDS;Social
311;151;Number of people with customized services per 10,000 inhabitants (BBV required);Number of people with customized services per 10,000 inhabitants (BBV required);Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
