id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
53;42;Transfers;transfers;Economic Capital;Financial Capital;Net assets/liabilities;Elsewhere;;Value Creation ;Monetary;;Growth;6_RMBW;Economic
32;43;Knowledge Cap.Inventory;Knowledge Capital Goods Inventory;Economic Capital;Knowledge Capital;Stock of knowledge capital;Here and now, Later;;Value Creation ;Monetary;;Growth;6_RMBW;Economic
11;44;MKI;MKI;Economic Capital;Monetary Aggregates;Natural capital;Here and now, Later, Elsewhere;Strategic;Value Creation ;Monetary;;Sustainability;3_ACM;Economic
30;45;Specialization index;Specialization index;Economic Capital;Monetary Aggregates;Economic capital;Here and now, Later;;Value Creation ;Index;City;Growth;5_EVMRA;Economic
3;46;Ground Fulfillment;Ground Fulfillment;Economic Capital;Non-Energy Resources;Resources;Here and now;Strategic;Value Creation ;Monetary;;Sustainability;3_ACM;Economic
2;47;DMC;DMC;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Economic
49;48;Imports goods-Asia;Imports of goods from Asia;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
1;49;DMI;DMI;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Economic
45;50;Imports goods;Total imports of goods;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
50;51;Imports goods-Oceania;Imports of goods from Oceania;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
47;52;Imports goods-Africa;Imports of goods from Africa;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
4;53;RMI;RMI;Economic Capital;Non-Energy Resources;Resources;Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Economic
5;54;RMC;RMC;Economic Capital;Non-Energy Resources;Resources;Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Economic
9;55;Waste treated;Volume of waste treated;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Economic
50;56;Ships visits;Total ships visits;Economic Capital;Non-Energy Resources;Intensity/Productivity;Here and Now, Elsewhere;;Resource Flow;Population;City;Growth;5_EVMRA;Economic
51;57;Imports-LDC;Total imports from LDCs;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
48;58;Imports goods-America;Imports of goods from America;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
46;59;Import goods-Europe;Import of goods from Europe;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
21;60;Port Storage Capacity;Port Storage Capacity;Economic Capital;Physical Capital;Capital stock;Here and now;;;Volume;City;Sustainability;7_Klimaat;Economic
31;61;Physical Cap. Inventory;Physical Capital Goods Inventory;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
14;62;Charging points;Charging points;Economic Capital;Physical Capital;Capital stock;Here and now, Later, Elsewhere;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
14;63;Business friendliness;Business friendliness;Economic Capital;Physical Capital;Infrastructure;Here and now;Tactical;System Condition;Index;Neighborhood;Growth;4_Stadsdonut;Economic
;64;No companies;No companies;Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Growth;10_DBoom;Economic
9;65;Corporate market-energy;Corporate market-energy;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
10;66;Social buildings;Social buildings;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
16;67;Business MRA;Number of business establishments in MRA;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;Regional;Growth;8_Duurzame;Economic
;68;Jobs in energy and circularity;Jobs in energy and circularity;Economic Capital;Physical Capital;Capital stock;Here and Now, Elsewhere;;;;;Growth;9_SDGs;Economic
14;69;Business AMS;Number of business establishments in Amsterdam   ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
28;70;Electricity network;Electricity network;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Electric current;City;Sustainability;7_Klimaat;Economic
27;71;Medium voltage areas;Medium voltage areas;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Electric current;City;Sustainability;7_Klimaat;Economic
;72;No companies;No companies;Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Growth;9_SDGs;Economic
;73;Spending on cultural heritage;Spending on cultural heritage;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;;Better admin;10_DBoom;Economic
;74;Jobs in energy and circularity;Jobs in energy and circularity;Economic Capital;Physical Capital;Capital stock;Here and Now, Elsewhere;;;;;Growth;10_DBoom;Economic
8;75;Bankrupcies;Number of bankruptcies ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
;76;Mix of jobs_functions;Mix of jobs/functions;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;;Growth;11_BBV;Economic
9;77;Business closures;Number of business closures                                  ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
7;78;Business AMS;Number of business establishments in Amsterdam   ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
;79;Diversity economy;Diversity economy;Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Growth;9_SDGs;Economic
59;80;Active establishments;Total of active establishments;Economic Capital;Physical Capital;Distribution-Labour;Here and now;;System Condition;Units;;Growth;1_StaatVDS;Economic
40;81;Vacant offices;Total vacant offices;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;System Condition;Population;Neighborhood;Growth;5_EVMRA;Economic
10;82;Business start-ups;Number of business start-ups                 ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
26;83;Digital resources availability;Digital resources availability;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Index;Neighborhood;Equal opp;1_StaatVDS;Economic
8;84;Corporate market-gen.;Corporate market-general;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
;85;Spending on cultural heritage;Spending on cultural heritage;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;;Better admin;9_SDGs;Economic
;86;Diversity economy;Diversity economy;Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Growth;10_DBoom;Economic
;87;Establishments companies;Establishments (of companies);Economic Capital;Physical Capital;Capital stock;;;;;;Growth;11_BBV;Economic
7;88;Access internet;Access to internet;Economic Capital;Physical Capital;ICT;Here and now;;System Condition;People;;Equal opp;4_Stadsdonut;Economic
12;89;New construction-Tender;New construction-Tender;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Index;City;Sustainability;7_Klimaat;Economic
;90;Relative absence;Relative absence;Human Capital;Education;Participation in education;;;;;;Growth;11_BBV;Economic
8;91;Participation in lifelong learning;Participation in lifelong learning;Human Capital;Education;Lifelong learning;Here and now, Later;;;;City;Equal opp;2_BWMRA;Economic
;92;Early school leavers;Early school leavers;Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
;93;Segregation;Segregation;Human Capital;Education;Distribution-Education;Here and now;;;;;Equal opp;9_SDGs;Economic
;94;NEET;Young people Not in Employment, Education or Training (NEET);Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
;95;Pre-school education;Pre-school education;Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
1;96;Starting Qualification;Starting Qualification;Human Capital;Education;Educational attainment;Here and now, Later;;;;City;Equal opp;2_BWMRA;Economic
;97;High level of school advice;High level of school advice;Human Capital;Education;Educational attainment;Here and now;;;;;Growth;10_DBoom;Economic
;98;Early school leavers;Early school leavers without starting qualifications (vsv-ers);Human Capital;Education;Educational attainment;;;;;;Growth;11_BBV;Economic
;99;Risk educational disadvantage;Risk educational disadvantage;Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
;100;Start qualification;Start qualification;Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;101;NEET;NEET;Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;102;NEET;NEET;Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
;103;Absolute absence;Absolute absence;Human Capital;Education;Participation in education;;;;;;Growth;11_BBV;Economic
;104;Disadvantaged Students;Disadvantaged Students;Human Capital;Education;Educational attainment;;;;;;Growth;11_BBV;Economic
;105;Net employment rate;Net employment rate;Human Capital;Education;Educational attainment;;;;;;Growth;11_BBV;Economic
;106;Start qualification;Start qualification;Human Capital;Education;Participation in education;Here and now;;;;;Growth;9_SDGs;Economic
;107;NEET;Young people Not in Employment, Education or Training (NEET);Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;108;Risk educational disadvantage;Risk educational disadvantage;Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;109;Pre-school education;Pre-school education;Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;110;Early school leavers;Early school leavers;Human Capital;Education;Participation in education;Here and now;;;;;Growth;10_DBoom;Economic
;111;Segregation;Segregation;Human Capital;Education;Distribution-Education;Here and now;;;;;Equal opp;10_DBoom;Economic
;112;High level of school advice;High level of school advice;Human Capital;Education;Educational attainment;Here and now;;;;;Growth;9_SDGs;Economic
;113;Clients with customized WMO arrangements;Clients with customized WMO arrangements.;Human Capital;Health;Health care facilities;;;;;;Safety;11_BBV;Economic
;114;Representation women in administration;Representation women in administration;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;10_DBoom;Economic
;115;Shortage of teachers;Shortage of teachers;Human Capital;Labour;Labour force;Here and now;;;;;Growth;10_DBoom;Economic
;116;Youth unemployment;Youth unemployment;Human Capital;Labour;Unemployment;Here and now;;;;;Growth;9_SDGs;Economic
;117;Employment;Employment;Human Capital;Labour;Employment rate;Here and now;;;;;Growth;10_DBoom;Economic
5;118;Online vacancies;Number of online vacancies;Human Capital;Labour;Workplaces-Vacancies;Here and now;;;;City;Equal opp;8_Duurzame;Economic
3;119;Unemployment rate;Unemployment rate;Human Capital;Labour;Unemployment;Here and now;Strategic;System Condition;Population;City;Equal opp;5_EVMRA;Economic
;120;Ongoing reintegration provisions;Ongoing reintegration provisions;Human Capital;Labour;Distribution-Labour;;;;;;Growth;11_BBV;Economic
;121;Economic participation per gender;Economic participation per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;10_DBoom;Economic
22;122;Participation rate;Participation rate;Human Capital;Labour;Employment rate;Here and now;;;;City;Growth;2_BWMRA;Economic
;123;Women managers in city organization;Women managers in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;9_SDGs;Economic
;124;Shortage of teachers;Shortage of teachers;Human Capital;Labour;Labour force;Here and now;;;;;Growth;9_SDGs;Economic
20;125;Natural attrition;Natural attrition;Human Capital;Labour;Employment rate;Here and now, Later;Strategic;System Condition;Population;City;Growth;5_EVMRA;Economic
43;126;Worked hours;Worked hours;Human Capital;Labour;Hours worked;Here and now, Later;;Adverse Outcome;Time;;Growth;6_RMBW;Economic
;127;Employment per gender;Employment per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;10_DBoom;Economic
4;128;Labour productivity;Labour productivity;Human Capital;Labour;Productivity;Here and now;;;;City;Growth;2_BWMRA;Economic
15;129;Unemployment labor force;Unemployment - labor force;Human Capital;Labour;Distribution-Labour-;Here and now;Strategic;System Condition;Population;City;Equal opp;5_EVMRA;Economic
;130;Paid work;Paid work;Human Capital;Labour;Labour force;Here and now;;;;;Growth;9_SDGs;Economic
;131;Women managers in city organization;Women managers in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;10_DBoom;Economic
;132;Income level per gender;Income level per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;10_DBoom;Economic
12;133;Labor force age;Labor force - age;Human Capital;Labour;Distribution-Labour-;Here and now, Later;Strategic;System Condition;Population;City;Growth;5_EVMRA;Economic
;134;Jobs;Jobs;Human Capital;Labour;Distribution-Labour;;;;;;Growth;11_BBV;Economic
13;135;Inactive population;Inactive population;Human Capital;Labour;Distribution-Labour-;Here and now, Later;Strategic;System Condition;Population;City;Growth;5_EVMRA;Economic
10;136;Labor force potential;Labor force - potential;Human Capital;Labour;Distribution-Labour-;Here and now, Later;Strategic;System Condition;Population;City;Growth;5_EVMRA;Economic
;137;Unemployed youths;Unemployed youths;Human Capital;Labour;Distribution-Labour;;;;;;Growth;11_BBV;Economic
;138;Representation women in city organization;Representation women in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;9_SDGs;Economic
;139;Representation women in city organization;Representation women in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;10_DBoom;Economic
13;140;Technical vacancies online;Number of technical job vacancies online          ;Human Capital;Labour;Workplaces-Vacancies;Here and now;;;;City;Growth;8_Duurzame;Economic
;141;Representation women in administration;Representation women in administration;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal opp;9_SDGs;Economic
;142;Economic participation per gender;Economic participation per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;9_SDGs;Economic
93;143;Workplaces AMS residents;Number of workplaces for Amsterdam residents;Human Capital;Labour;Workplaces-Vacancies;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
;144;Paid work;Paid work;Human Capital;Labour;Labour force;Here and now;;;;;Growth;10_DBoom;Economic
;145;Income level per gender;Income level per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;9_SDGs;Economic
;146;Youth unemployment;Youth unemployment;Human Capital;Labour;Unemployment;Here and now;;;;;Growth;10_DBoom;Economic
11;147;Labor force people;Labor force - people;Human Capital;Labour;Distribution-Labour-;Here and now, Later;Strategic;System Condition;Population;City;Growth;5_EVMRA;Economic
;148;Employment;Employment;Human Capital;Labour;Employment rate;Here and now;;;;;Growth;9_SDGs;Economic
;149;Employment per gender;Employment per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Growth;9_SDGs;Economic
82;150;Ultrafine particles;Ultrafine particles (PM2.5);Natural Capital;Air Quality;Emissions of particulate matter;Here and now;;;Mass;Neighborhood;Safety;1_StaatVDS;Environmental
;151;Air quality;Air quality;Natural Capital;Air Quality;Particulate matter concentration;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
35;152;Air pollution;Air pollution;Natural Capital;Air Quality;Emissions of particulate matter;Here and now;Tactical;Adverse Outcome;Amount substance;City;Safety;4_Stadsdonut;Environmental
2;153;Particulate matter exposure;Particulate matter exposure;Natural Capital;Air Quality;Emissions of particulate matter;Here and now, Later, Elsewhere;;;;City;Safety;2_BWMRA;Environmental
29;154;Exposure particulate matter ;Urban exposure to particulate matter (PM2.5)†;Natural Capital;Air Quality;Particulate matter concentration;Here and now, Later;;Adverse Outcome;Amount substance;;Safety;6_RMBW;Environmental
;155;Air quality;Air quality;Natural Capital;Air Quality;Particulate matter concentration;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
81;156;Nitrogen dioxide;Nitrogen dioxide;Natural Capital;Air Quality;General air pollution;Here and now;;;Mass;Neighborhood;Sustainability;1_StaatVDS;Environmental
;157;Municipal sustainability index;Municipal sustainability index;Natural Capital;Climate;State of the climate;Here and now;;;;;Better admin;9_SDGs;Environmental
36;158;Air Ozone layer depletion;Air Ozone layer depletion;Natural Capital;Climate;Ozone depleting substances;Here and now, Later, Elsewhere;Tactical;Value Creation ;Mass;National;Sustainability;4_Stadsdonut;Environmental
27;159;Total greenhouse gas emissions per inhabitant;Total greenhouse gas emissions per inhabitant;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;;;City;Sustainability;2_BWMRA;Environmental
;160;CO2 emissions per transition path;CO2 emissions per transition path;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
34;161;Air Climate change;Air Climate change;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;Strategic;Adverse Outcome;Mass;;Sustainability;4_Stadsdonut;Environmental
48;162;CO2 aviation GHG;CO2 aviation emissions;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;5_EVMRA;Environmental
41;163;CO2 emissions;CO2 emissions;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;5_EVMRA;Environmental
22;164;CO2 emissions - Port;CO2 emissions - Port;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;7_Klimaat;Environmental
64;165;Greenhouse gas footprint;Greenhouse gas footprint;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
30;166;Env. problems;Environmental problems;Natural Capital;Climate;GHG emissions;Here and now, Later;;Adverse Outcome;Population;;Sustainability;6_RMBW;Environmental
;167;CO2 emissions municipality;CO2 emissions municipality;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
1;168;CO2 emissions;CO2-emissions;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;Neighborhood;Sustainability;7_Klimaat;Environmental
;169;Municipal sustainability index;Municipal sustainability index;Natural Capital;Climate;State of the climate;Here and now;;;;;Better admin;10_DBoom;Environmental
28;170;Water carbon storage;Water carbon storage;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later, Elsewhere;;Value Creation ;Mass;;Sustainability;4_Stadsdonut;Environmental
51;171;CO2 emissions North Sea;Co2 emissions - North Sea;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;5_EVMRA;Environmental
64;172;CO2 Emissions;CO2 Emissions;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Sustainability;1_StaatVDS;Environmental
5;173;Reduction CO2-House Association;Reduction CO2-Housing Associations;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Value Creation ;Mass;City;Sustainability;7_Klimaat;Environmental
63;174;Commodity footprint;Commodity footprint;Natural Capital;Climate;Footprint;Elsewhere;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
15;175;CO2 emissions - Mobility;CO2 emissions - Mobility;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;7_Klimaat;Environmental
;176;Estimated CO2 emissions 2030;Estimated CO2 emissions 2030;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
42;177;Cumulative CO2 emissions;Cumulative CO2-emissions;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
19;178;CO2 emissions - Electricity;CO2 emissions - Electricity;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Sustainability;7_Klimaat;Environmental
;179;CO2 emissions;CO2 emissions;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
33;180;Urban island effect;Urban island effect;Natural Capital;Climate;State of the climate;Here and now;Tactical;Adverse Outcome;Temperature;City;Safety;4_Stadsdonut;Environmental
;181;CO2 emissions municipality;CO2 emissions municipality;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;182;Estimated CO2 emissions 2030;Estimated CO2 emissions 2030;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;183;CO2 emissions per transition path;CO2 emissions per transition path;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
;184;CO2 emissions;CO2 emissions;Natural Capital;Climate;CO2 emissions;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
88;185;Perceived temperature ;Average perceived temperature;Natural Capital;Climate;State of the climate;Here and now;;Adverse Outcome;Temperature;;Sustainability;1_StaatVDS;Environmental
;186;CO2 emissions - Housing;CO2 emissions - Housing;Natural Capital;Climate;CO2 emissions;Here and now, Later, Elsewhere;;;;;Sustainability;7_Klimaat;Environmental
10;187;Share of renewable energy per capita;Share of renewable energy per capita;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;City;Sustainability;2_BWMRA;Environmental
4;188;Gas free-investment;Natural gas free-investment;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Population;Neighborhood;Sustainability;7_Klimaat;Environmental
